фио;почта;телефон;дата рождения;адрес;организация;должность;вид трудоустройства;дата приема
Стефан Владимирович Архипов;vlad.isakov@fomicev.ru;(812) 099-73-36;20.12.1979;292802, Архангельская область, город Балашиха, проезд Ладыгина, 87;ОАО ТекстильУрал;Технолог;основное;17.09.1990
Вишнякова Галина Евгеньевна;anton22@kudryvtev.net;(35222) 81-6249;25.09.1971;969178, Тюменская область, город Чехов, въезд Домодедовская, 94;ЗАО Электро;Бортпроводник;основное;01.11.1981
Зуева Инесса Андреевна;kornilov.ylian@rogov.ru;8-800-421-6720;05.04.1987;703462, Рязанская область, город Павловский Посад, пер. Балканская, 35;ОАО Авто;Бортпроводник;стажировка;17.05.2012
Варвара Романовна Селезнёва;uabramov@borisov.com;(495) 404-8322;09.02.1990;716261, Кировская область, город Волоколамск, пл. Бухарестская, 81;ОАО МоторТекстильАвтоМаш;Программист;основное;11.05.2009
Лукин Вениамин Львович;izabella78@ilin.com;(812) 374-96-60;07.09.1997;361884, Смоленская область, город Сергиев Посад, шоссе Ладыгина, 71;ООО Компания ТехКреп;Программист;по совместительству;13.07.1997
Белозёрова Кристина Александровна;rozalina.vinogradov@konovalov.org;(812) 853-54-38;21.11.1990;521041, Мурманская область, город Луховицы, наб. Балканская, 58;ОАО УралСтрой;Бортпроводник;по совместительству;17.05.1978
Беляев Сава Евгеньевич;makarov.faina@zaitev.ru;(812) 855-07-49;08.01.1979;072252, Липецкая область, город Одинцово, шоссе Сталина, 36;ОАО ГаражБухЦементНаладка;Программист;по совместительству;20.11.1981
Белоусова Антонина Ивановна;german28@sarapov.com;(35222) 47-6317;03.05.1975;172074, Воронежская область, город Зарайск, проезд Ладыгина, 65;ЗАО Электро;Программист;по совместительству;09.02.1997
Веселова Фаина Владимировна;vasilisa24@lazarev.ru;(812) 868-00-81;28.07.1992;877990, Свердловская область, город Шатура, бульвар Космонавтов, 04;ООО ЭлектроРосХозМашина;Ведущий программист;стажировка;16.10.1986
Владимиров Лаврентий Алексеевич;vlasov.gennadii@borisov.ru;(495) 854-6814;09.09.1974;610661, Ульяновская область, город Щёлково, бульвар Балканская, 14;ЗАО Тех;Младший программист;по совместительству;02.11.1996
Гавриил Александрович Беспалов;anfisa.nazarov@pestov.ru;(35222) 36-4273;16.12.1989;203742, Читинская область, город Озёры, пл. Гагарина, 05;ОАО ТекстильУрал;Пилот;стажировка;26.12.1987
Дроздов Константин Львович;bragin.feliks@prokorov.org;+7 (922) 991-0595;14.03.1972;896809, Калужская область, город Дорохово, бульвар Косиора, 52;ОАО Сантех;Бортпроводник;основное;17.10.1985
Шестаков Виталий Евгеньевич;belov.roman@molcanov.ru;(495) 363-7959;06.07.1976;343352, Костромская область, город Истра, бульвар Славы, 16;ЗАО ЛифтТекстильТяж;Ведущий программист;по совместительству;11.12.1992
Ярослава Львовна Игнатова;stefan62@zaitev.org;+7 (922) 237-5469;02.08.1974;234648, Иркутская область, город Мытищи, пл. Чехова, 72;ЗАО Электро;Бортпроводник;по совместительству;27.12.1990
Русаков Тимофей Дмитриевич;petr.zykov@kolobov.net;+7 (922) 661-3225;02.07.1999;460007, Сахалинская область, город Ступино, пер. Ломоносова, 21;ЗАО ЛифтТекстильТяж;Аналитик;стажировка;23.12.2028
Игнатов Никодим Максимович;diana.baranov@konovalov.ru;(35222) 12-8822;10.08.1988;479819, Новгородская область, город Зарайск, шоссе Косиора, 14;ЗАО ЦементЛифтКреп;Программист;стажировка;12.12.1981
Антон Дмитриевич Беспалов;mbaranov@loginov.ru;(35222) 88-2764;12.04.1984;200845, Воронежская область, город Балашиха, шоссе Гоголя, 41;ОАО ТекстильУрал;Технолог;основное;21.10.1970
